GEO_NAME,% vaccinated,Low income,% visible minority,% manufacturing,% wholesale trade,% transportation and warehousing,% retail trade,% information and cultural industries,% construction,% education services,% health care and social services,% accommodation and food services,% english nor french,median individual income,average individual income,income - % in bottom decile,income - % in top decile,average age,median age,population,% commuting by car or truck as driver,% commuting by car or truck as passenger,% commuting by vehicle,% commuting by public transit,% commuting by walking,% commuting by bicycle,% commuting by other method,% leaving for work between 5am and 6am,% leaving for work between 6am and 7am,% leaving for work between 7am and 8am,% leaving for work between 8am and 9am,% leaving for work between 9am and 12pm,% leaving for work between 12pm and 5am,% first generation immigrants,% second generation immigrants,% third generation or more immigrants
L1P,0.19,0.10300000000000001,0.35158753277017185,0.06809651474530831,0.04075067024128686,0.05093833780160858,0.11152815013404825,0.03485254691689008,0.060053619302949064,0.08793565683646112,0.09758713136729223,0.055764075067024126,0.017458500286204923,40558.0,55290.0,0.0698539937016891,0.17091325508159175,35.6,36.8,17479.0,0.7845373891001267,0.048162230671736375,0.048162230671736375,0.13878326996197718,0.017743979721166033,0.0031685678073510772,0.0076045627376425855,0.08998732572877059,0.1926489226869455,0.26108998732572875,0.1888466413181242,0.09759188846641319,0.16856780735107732,0.2893356643356643,0.2902097902097902,0.42045454545454547
L1R,0.22,0.071,0.3533016508254127,0.07268722466960352,0.03612334801762115,0.03832599118942731,0.12533039647577093,0.03259911894273128,0.06035242290748899,0.08149779735682819,0.10154185022026432,0.05726872246696035,0.010428305400372439,42117.0,56344.0,0.04555751321419582,0.16448527561037,37.1,38.0,40287.0,0.7790667697860273,0.05104408352668213,0.05104408352668213,0.13534416086620263,0.02320185614849188,0.002577984016499098,0.008765145656096932,0.09796339262696571,0.18819283320443414,0.2554782160350606,0.18355246197473576,0.11085331270946121,0.1637019850476927,0.3006503251625813,0.2911455727863932,0.4080790395197599
L1S,0.27,0.10300000000000001,0.3459026494146642,0.07688984881209503,0.03952483801295896,0.05593952483801296,0.10518358531317494,0.03326133909287257,0.07105831533477322,0.06825053995680345,0.09848812095032397,0.056155507559395246,0.0074119827053736875,36092.0,46210.0,0.0672102792191747,0.09278477884852977,41.2,42.5,40689.0,0.7207070707070707,0.07095959595959596,0.07095959595959596,0.15353535353535352,0.03636363636363636,0.008333333333333333,0.010101010101010102,0.09699419045213438,0.21040666835059357,0.26345036625410456,0.16367769638797677,0.10381409446830007,0.16165698408689064,0.29895255699322243,0.274060382008626,0.4267406038200863
L1T,0.2,0.08900000000000001,0.6485921798825988,0.07296212253447373,0.03752836446151161,0.05393611450514924,0.11764705882352941,0.03281550008727527,0.05166695758422063,0.06650375283644615,0.09670099493803457,0.05917263047652295,0.0183969769291965,34439.0,47113.0,0.05331211458126119,0.11438233538889994,36.6,36.6,50536.0,0.734359182020652,0.060336100425187285,0.060336100425187285,0.17270702571370722,0.017007491395019236,0.003644462441789836,0.011743267867989472,0.07513163223977319,0.20089104900769542,0.25415147833130824,0.1808424463345484,0.12555690562980965,0.16362899959497773,0.4395582529101582,0.34076211322256494,0.2197791264550791
L1V,0.28,0.084,0.4514064015518914,0.06327372764786796,0.04126547455295736,0.04487620357634113,0.1126203576341128,0.03576341127922971,0.07015130674002751,0.08218707015130675,0.09766162310866575,0.04986244841815681,0.010689990281827016,38754.0,50521.0,0.05255985984037376,0.1504769320615145,40.6,41.9,51910.0,0.7401322380284512,0.05930675215387698,0.05930675215387698,0.16048887998397116,0.026447605690242435,0.002805049088359046,0.011019835704267681,0.07333199759567222,0.17892205970747346,0.29312762973352036,0.19154478060508917,0.12181927469445002,0.14105389701462634,0.36314258001939864,0.3221144519883608,0.31474296799224055
L1W,0.27,0.08,0.23761495105309996,0.0659846547314578,0.043478260869565216,0.047058823529411764,0.09872122762148337,0.03273657289002557,0.10127877237851662,0.06905370843989769,0.09769820971867008,0.04757033248081841,0.0050415183867141165,39187.0,50468.0,0.05458320973005043,0.12904182735093445,42.9,44.8,17033.0,0.7330482590103848,0.06414172266340867,0.06414172266340867,0.16127061698228468,0.02504581551618815,0.002443494196701283,0.013439218081857055,0.09285277947464875,0.17532070861331706,0.2797800855222969,0.1973121563836286,0.12156383628588882,0.1325595601710446,0.25897359833877187,0.28211213289824977,0.459210916641946
L1X,0.21,0.08900000000000001,0.5885254413291796,0.0784313725490196,0.04286365709074327,0.045599635202918376,0.11399908800729594,0.03419972640218878,0.05791153670770634,0.06885544915640675,0.10031919744642043,0.04240766073871409,0.014131551901336074,36585.0,50637.0,0.05452674897119342,0.143261316872428,37.2,36.8,19481.0,0.757607555089192,0.055613850996852045,0.055613850996852045,0.15792235047219308,0.013116474291710388,0.002098635886673662,0.01416579223504722,0.06771653543307087,0.1942257217847769,0.27664041994750654,0.18425196850393702,0.13438320209973753,0.14278215223097113,0.43146417445482865,0.32191069574247144,0.2466251298026999
L1Y,0.29,0.096,0.07672634271099744,0.06172839506172839,0.04938271604938271,0.02880658436213992,0.102880658436214,0.0205761316872428,0.1522633744855967,0.0823045267489712,0.07818930041152264,0.037037037037037035,0.0,42010.0,68628.0,0.0707070707070707,0.2702020202020202,42.8,46.7,2005.0,0.8112244897959183,0.03571428571428571,0.03571428571428571,0.07653061224489796,0.04591836734693878,0.01020408163265306,0.025510204081632654,0.08673469387755102,0.1683673469387755,0.29081632653061223,0.21428571428571427,0.11224489795918367,0.12244897959183673,0.14066496163682865,0.2531969309462916,0.6061381074168798
L1Z,0.16,0.09300000000000001,0.7375198447698007,0.07842509603072984,0.03841229193341869,0.05473751600512164,0.10051216389244558,0.045454545454545456,0.045134443021766966,0.056658130601792575,0.11075544174135724,0.06017925736235595,0.020390226753383724,39201.0,48906.0,0.05257605064181466,0.09600844030244417,32.9,33.8,28446.0,0.7246646795827124,0.05961251862891207,0.05961251862891207,0.19076005961251863,0.01602086438152012,0.0018628912071535022,0.0067064083457526085,0.0786140089418778,0.19932935916542474,0.2678837555886736,0.1628166915052161,0.12183308494783905,0.169150521609538,0.46004586346798376,0.36514376433233375,0.17463397424589874
L2A,0.24,0.183,0.07663782447466007,0.11533505154639176,0.03286082474226804,0.07667525773195877,0.12628865979381443,0.009664948453608248,0.0779639175257732,0.05025773195876289,0.0979381443298969,0.09729381443298969,0.005253399258343634,29137.0,37765.0,0.11751937984496125,0.04682170542635659,45.2,48.3,16532.0,0.8647194465795542,0.0730207532667179,0.0730207532667179,0.013066871637202153,0.033820138355111454,0.005380476556495004,0.011529592621060722,0.09146810146041506,0.17217524980784013,0.22598001537279017,0.21521906225980014,0.10453497309761722,0.18985395849346656,0.1974050046339203,0.21902996601791783,0.5835650293481619
